rank,lock_trigger,trail_drop,daily_loss_limit,halt_mode,cycles,total_pnl,win_rate_pct,session_day_win_rate_pct,mean_daily_pnl,stdev_daily_pnl,best_day,worst_day,month_win_rate_pct,week_win_rate_pct,composite
1,,,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
2,,,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
3,,,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
4,1500,,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
5,1500,,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
6,1500,,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
7,1500,3500,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
8,1500,3500,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
9,1500,3500,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
10,2500,,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
11,2500,,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
12,2500,,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
13,2500,3500,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
14,2500,3500,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
15,2500,3500,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
16,4000,,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
17,4000,,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
18,4000,,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
19,4000,3500,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
20,4000,3500,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
21,4000,3500,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
22,6000,,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
23,6000,,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
24,6000,,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
25,6000,2000,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
26,6000,2000,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
27,6000,2000,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
28,6000,3500,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
29,6000,3500,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
30,6000,3500,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
31,10000,,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
32,10000,,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
33,10000,,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
34,10000,2000,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
35,10000,2000,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
36,10000,2000,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
37,10000,3500,,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
38,10000,3500,3000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
39,10000,3500,5000,soft,4809,1434327.35,83.53,85.96,6290.91,7524.06,36387.00,-2505.90,100.00,92.59,561478.50
40,4000,2000,,soft,4794,1430679.65,83.52,85.96,6274.91,7527.16,36387.00,-2505.90,100.00,92.59,559148.06
41,4000,2000,3000,soft,4794,1430679.65,83.52,85.96,6274.91,7527.16,36387.00,-2505.90,100.00,92.59,559148.06
42,4000,2000,5000,soft,4794,1430679.65,83.52,85.96,6274.91,7527.16,36387.00,-2505.90,100.00,92.59,559148.06
43,2500,2000,,soft,4780,1428778.65,83.51,85.96,6266.57,7530.91,36387.00,-2505.90,100.00,92.59,557848.61
44,2500,2000,3000,soft,4780,1428778.65,83.51,85.96,6266.57,7530.91,36387.00,-2505.90,100.00,92.59,557848.61
45,2500,2000,5000,soft,4780,1428778.65,83.51,85.96,6266.57,7530.91,36387.00,-2505.90,100.00,92.59,557848.61
46,10000,1000,,soft,4769,1414173.10,83.50,85.96,6202.51,7372.09,36387.00,-2505.90,100.00,92.59,555474.79
47,10000,1000,3000,soft,4769,1414173.10,83.50,85.96,6202.51,7372.09,36387.00,-2505.90,100.00,92.59,555474.79
48,10000,1000,5000,soft,4769,1414173.10,83.50,85.96,6202.51,7372.09,36387.00,-2505.90,100.00,92.59,555474.79
49,6000,1000,,soft,4728,1398213.10,83.44,85.96,6132.51,7312.17,36387.00,-2505.90,100.00,92.59,548255.00
50,6000,1000,3000,soft,4728,1398213.10,83.44,85.96,6132.51,7312.17,36387.00,-2505.90,100.00,92.59,548255.00
51,6000,1000,5000,soft,4728,1398213.10,83.44,85.96,6132.51,7312.17,36387.00,-2505.90,100.00,92.59,548255.00
