rank,lock_trigger,trail_drop,daily_loss_limit,halt_mode,cycles,total_pnl,win_rate_pct,session_day_win_rate_pct,mean_daily_pnl,stdev_daily_pnl,best_day,worst_day,month_win_rate_pct,week_win_rate_pct,composite
1,4000,2000,,hard,4754,1411881.50,83.45,85.96,6192.46,7490.52,36387.00,-2505.90,100.00,92.59,549290.64
2,4000,2000,3000,hard,4754,1411881.50,83.45,85.96,6192.46,7490.52,36387.00,-2505.90,100.00,92.59,549290.64
3,2500,2000,,hard,4731,1406301.70,83.43,85.96,6167.99,7502.19,36387.00,-2505.90,100.00,92.59,545467.65
4,2500,2000,3000,hard,4731,1406301.70,83.43,85.96,6167.99,7502.19,36387.00,-2505.90,100.00,92.59,545467.65
5,1500,2000,,hard,4689,1396886.00,83.45,84.65,6126.69,7524.25,36387.00,-2505.90,100.00,92.59,530697.24
6,1500,2000,3000,hard,4689,1396886.00,83.45,84.65,6126.69,7524.25,36387.00,-2505.90,100.00,92.59,530697.24
7,4000,1000,,hard,3941,1056044.95,82.49,85.96,4631.78,4884.04,25759.50,-2505.90,100.00,92.59,441880.74
8,4000,1000,3000,hard,3941,1056044.95,82.49,85.96,4631.78,4884.04,25759.50,-2505.90,100.00,92.59,441880.74
9,2500,1000,,hard,3684,972240.00,82.17,85.96,4264.21,4858.70,25759.50,-2505.90,100.00,92.59,390660.78
10,2500,1000,3000,hard,3684,972240.00,82.17,85.96,4264.21,4858.70,25759.50,-2505.90,100.00,92.59,390660.78
11,1500,1000,,hard,3547,938770.00,82.35,85.96,4117.41,4842.00,25759.50,-2505.90,100.00,92.59,370873.02
12,1500,1000,3000,hard,3547,938770.00,82.35,85.96,4117.41,4842.00,25759.50,-2505.90,100.00,92.59,370873.02
